"trail","efk","vark","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","y.true"
1,-0.14649507827691,0.0299724178392044,"A","A","A","A","A","0.268247283042282","0.312243192205101","0.293253490192002","0.085136864395586","0.147401486989539",0
2,0.493388172662499,0.032594781854077,"B","C","C","C","A","0.576855653541875","0.447556432981729","0.350530011754064","0.707373086394066","0.610533756556971",0.3
3,0.304020622994914,0.0227521106305334,"C","C","B","C","C","0.592335595131168","0.418115186392554","0.922293838718272","0.741082285470474","0.683642112090272",0.3
4,0.433596053258789,0.0167425001199543,"A","B","A","A","B","0.155212179778532","0.301524769512656","0.101503763935364","0.163149467162959","0.196026909226516",0
5,0.200915450778127,0.0192838200996674,"A","A","A","A","B","0.598871886202976","0.132693580804259","0.275338799906519","0.340328939356541","0.659132377522098",0
6,0.193652255570249,0.0184309299796682,"C","C","C","C","C","0.952579559374057","0.929189976449205","0.977867337027155","0.995258262296061","0.958072657216469",0.3
7,0.333331470295495,0.0287239914071062,"B","B","C","C","C","0.818077385026357","0.877061109816237","0.912686993161352","0.953281464006167","0.840356913326809",0.3
8,0.315014004397489,0.0170746036011433,"C","C","C","C","C","0.981417922822926","0.893826760653676","0.937186422708074","0.944405082687938","0.992630480095022",0.3
9,0.171042026652731,0.0156157635460505,"C","C","C","C","C","0.973150904316438","0.998315327933581","0.972778127084703","0.988612760600005","0.967945140191925",0.3
10,-0.0586194577461525,0.0324649792477332,"A","A","A","B","A","0.156919622476861","0.155074712777692","0.135559755098251","0.273640019083335","0.315643715651614",0
11,-0.0113969853849747,0.0228208391087463,"B","B","C","B","B","0.59454175756632","0.571212934886602","0.211674370969594","0.47642400375439","0.611816460916398",0.3
12,0.254766180794041,0.0254879051943642,"C","C","C","C","C","0.834288180399611","0.925954431438339","0.939856796457251","0.85355087605977","0.929595048418441",0.3
13,0.150676563025367,0.0267584264399971,"A","A","A","A","A","0.0809218730652832","0.422282652066282","0.191030982103294","0.0273202122925188","0.283432860400246",0
14,0.0743609484444342,0.021597511147634,"A","A","A","A","A","0.226987948765508","0.358902763936583","0.242310983622922","0.0711375006346999","0.164266202140472",0
15,-0.247374409418174,0.0179479451401648,"A","B","A","A","A","0.36017878801419","0.584052011871043","0.345318240445252","0.452527340704349","0.399831523858678",0
16,0.723907995624175,0.025873625285194,"C","B","C","C","C","0.746995366868734","0.828944945063552","0.873048447215971","0.875727618807743","0.961829680771631",0.3
17,-0.241751126849321,0.0214706011444797,"B","A","A","A","B","0.0841817327795391","0.426624170967522","0.476870554692688","0.345369359280316","0.0842701642053985",0
18,0.215089464299356,0.0235032939605469,"C","C","C","C","C","0.744526666466464","0.659005161590538","0.784737153241386","0.823501903835912","0.613614335661936",0.3
19,0.413675119667714,0.029993529679549,"B","B","B","A","B","0.402491054127475","0.190690041589213","0.519524583345138","0.750484876844436","0.615928754378967",0
20,0.231301655870908,0.0345390607368081,"B","B","C","C","B","0.596141056479253","0.915921850507187","0.29622260073619","0.783752405985625","0.760516763989887",0.3
21,0.0796438167774614,0.0346757517697799,"B","A","A","B","B","0.583172582556371","0.570541180599248","0.455963433268421","0.393640467191007","0.0672562792901505",0
22,1.1411108765197,0.055297954699321,"C","C","C","C","C","0.896902846903155","0.973174116884842","0.990854831441561","0.980717634338767","0.982076299577973",0.3
23,0.493631656841577,0.0257052470393873,"C","A","A","A","B","0.576617685607515","0.449303909825669","0.631432658030669","0.501305032209557","0.398020744100917",0
24,0.360399877240332,0.0386652661357734,"A","A","A","A","A","0.115692368490564","0.405604180020289","0.291269729253231","0.470734429551564","0.103567508092069",0
25,0.258579979250929,0.0245270207916879,"B","A","A","A","B","0.156408838996021","0.577744858959923","0.254400873700644","0.168796129048268","0.163566156872733",0
26,-0.119376549388169,0.0220570971898841,"A","B","B","A","A","0.512326435256083","0.362252780789928","0.728011163140502","0.262913804934214","0.20951402308868",0
27,-0.0437066015029817,0.033485803966965,"B","B","A","A","B","0.748560339369413","0.347998409680159","0.286186595439896","0.593541451601529","0.350176109133355",0
28,-0.334764524955436,0.0260732309691794,"A","A","A","A","A","0.263749638889965","0.193193976785234","0.339974375291325","0.128714626518426","0.417367227364057",0
29,0.436339352455547,0.0203252311489022,"C","B","C","C","C","0.98931873562653","0.735468821926031","0.852600476646358","0.901112470339216","0.603651087988534",0.3
30,0.297864892794913,0.0249579035282484,"C","C","C","C","C","0.9066564783453","0.999110818289196","0.996979583603015","0.998259738333293","0.973218191778233",0.3
31,0.556337406323336,0.0219809675182853,"A","C","A","B","A","0.477156937838727","0.60268677030631","0.222275937920844","0.197167035932849","0.447458065332295",0.3
32,0.814502711004317,0.0154809152983325,"B","B","B","B","B","0.486280323049464","0.686402803051543","0.788819305748826","0.299075480579763","0.828896514928711",0.3
33,0.506527634492752,0.0166275878522372,"B","B","B","B","A","0.631944137634795","0.355655256731199","0.744664572083739","0.933418139876054","0.412790512662369",0.3
34,-0.0344986078056953,0.0580445888629383,"B","B","B","B","B","0.559996738280088","0.696056911086008","0.539926308106803","0.614529439194443","0.682977577715234",0.3
35,-0.181763725889747,0.0468155682270098,"B","A","A","A","B","0.0398017010331939","0.240438743968383","0.503795131850447","0.416230815938794","0.299966241652849",0
36,0.0532889820653114,0.0209728039838304,"C","C","C","C","C","0.572495755920101","0.91803163380229","0.739970725267196","0.969109926198422","0.933229620363299",0.3
37,0.444672344233314,0.0220850492214504,"C","C","C","C","C","0.960074261202034","0.738625409300497","0.961262185829472","0.956084728298884","0.332120538942648",0.3
38,0.617872486643319,0.0439510532758317,"A","A","A","B","B","0.618912430710886","0.330541987746124","0.239854343257764","0.471040160033846","0.457379861049398",0
39,0.162366156474383,0.0154163699556299,"B","A","B","A","A","0.321981143322408","0.11361821283056","0.0893576122605003","0.4004113296566","0.196815751648708",0
40,0.0512733761380844,0.0267610995791579,"A","A","A","A","A","0.593814197173956","0.194544236099254","0.355560056974221","0.220146778281967","0.256509334001588",0
41,-0.00224927255015006,0.0427990367551917,"A","A","A","A","A","0.00893535001980777","0.0788842540570367","0.128594007579581","0.141836686064248","0.00854702260642214",0
42,0.200372151118616,0.0230665377175157,"C","B","B","A","C","0.603950089658284","0.532336762354119","0.24708402260435","0.683170904405725","0.827947692704552",0
43,0.0963952471704616,0.0266434614500237,"C","C","C","C","B","0.962715481831227","0.576001806785611","0.718242098300837","0.880454549562317","0.852365797711879",0.3
44,-0.088413289216588,0.0218867670598249,"B","C","B","B","B","0.785172072830772","0.626395610547415","0.754768142745421","0.846034400715793","0.641853421619374",0.3
45,-0.466872403427619,0.016875924216432,"A","A","A","A","A","0.0598426410363388","0.0193395887417381","0.0589113267754364","0.137469628498167","0.145554074290146",0
46,0.443498885461662,0.0219615473360587,"C","C","B","B","C","0.798440279231313","0.81775497517083","0.933730409419589","0.838063171957035","0.865794272682167",0.3
47,0.507085800589379,0.0272302404471397,"C","C","C","C","C","0.878238961496113","0.951225561946935","0.864374877188802","0.919787767603391","0.980773704777787",0.3
48,-0.156285908763517,0.0227938371430512,"A","B","B","B","C","0.652302805324997","0.659571470511282","0.624304251995862","0.215512101659156","0.0340800748876395",0.3
49,0.0064812522755189,0.0248462589886016,"C","C","C","C","C","0.944103783683131","0.911417850484982","0.964386498740701","0.841437842849227","0.89098370077291",0.3
50,0.30646891047624,0.0321495290460966,"A","A","A","A","A","0.0186917452567129","0.210173279961172","0.158590259695525","0.582919671076823","0.0340785207230268",0
51,0.247979064585103,0.0310468129678291,"B","C","A","B","A","0.467177171046576","0.481318836709407","0.374397933226883","0.568332451210966","0.738633015636689",0.3
52,0.50662316793205,0.0212048897322101,"B","C","C","C","C","0.863038008699495","0.398547851690507","0.881344819828822","0.896256352184683","0.519173607214865",0.3
53,-0.195191621385834,0.0243345286637658,"A","B","C","A","A","0.384782597531084","0.675664043817221","0.444347261123471","0.466319964130886","0.406905100165318",0
54,0.192284722890152,0.034991845759014,"A","B","B","C","C","0.481498493539725","0.131595704652429","0.0872172539036423","0.30447358409287","0.445048825293065",0.3
55,0.0559806638521975,0.0260912617440139,"C","A","C","A","A","0.341273974191278","0.496798117633276","0.472887954052756","0.803863288370444","0.455424287662947",0
56,0.0413132361248491,0.0254080686981065,"A","A","A","A","A","0.210102992268548","0.13534301193711","0.150448775404624","0.0197563252784086","0.0220312633891064",0
57,0.388674157709065,0.048374623605876,"B","C","B","C","C","0.49116063847008","0.520002788988939","0.536512301986252","0.487386856159816","0.580017339743662",0.3
58,0.131047031266674,0.0336110580458307,"C","B","B","B","C","0.512674911367354","0.756029235450249","0.673270108122543","0.47074426577485","0.241219497528451",0.3
59,-0.30693412626383,0.0304497282447749,"A","A","A","A","A","0.0220739882695172","0.0469535319240366","0.109978339321873","0.00570080947717315","0.0024097088491685",0
60,-0.24059081786051,0.028287811992494,"B","B","A","A","C","0.468898451966747","0.519754724988809","0.446193064348177","0.384730830522756","0.521144899588666",0
61,0.152940002859115,0.032447530107364,"B","C","B","C","A","0.601444916286227","0.351101912416881","0.62158680233265","0.726449159139226","0.486203350421656",0.3
62,0.224176690676352,0.0459739717237798,"C","A","C","C","B","0.726646052624911","0.122774041811269","0.509727005512995","0.670377368945982","0.413611221866087",0.3
63,0.21321138064817,0.0181615802302902,"C","C","C","C","C","0.995134492530025","0.986454033671256","0.831737793989071","0.997099911757306","0.993459877398068",0.3
64,0.372941545164852,0.0261040272015918,"B","C","B","C","C","0.459535149110221","0.874747015557408","0.485545297622145","0.49997139663504","0.755520849688797",0.3
65,0.558484941910469,0.023286731435054,"B","A","B","B","B","0.391074000916741","0.686467136676458","0.59622474628555","0.270652154166225","0.135749330103363",0.3
66,0.166549412753272,0.0276079493749957,"B","B","A","A","B","0.509959211516564","0.271145276629129","0.44168796636096","0.580982279243205","0.682837541151992",0
67,0.447507547046273,0.0282983315296016,"C","C","A","C","B","0.891988848776302","0.827064261601738","0.67692931695489","0.681013124274583","0.860041988071672",0.3
68,0.537329358142373,0.0196479823478122,"C","C","C","C","C","0.892205181607904","0.807855872836136","0.890357456151388","0.904651157742711","0.745226791280492",0.3
69,0.179200188434886,0.0213817985543812,"B","C","C","C","C","0.927326837718071","0.690672278442298","0.740665734457131","0.892082748903279","0.819348578709756",0.3
70,0.128404315431566,0.0170085008017107,"A","B","A","A","B","0.390668889327826","0.557726524218644","0.101959862401435","0.183007008010034","0.172802240196744",0
71,0.327167079242241,0.0303948436487136,"B","C","C","C","C","0.96530808686413","0.402081374543958","0.882397920133826","0.885497339246319","0.892632913233195",0.3
72,0.521597444335209,0.027697854719356,"B","C","C","C","C","0.793380373372182","0.836222090760978","0.359996634139859","0.800800049981748","0.637936316719163",0.3
73,0.0982174917763125,0.0347347012144545,"C","C","C","C","C","0.929116962457407","0.945227592743721","0.90406682284409","0.949705948460102","0.958100879528754",0.3
74,-0.211438810733991,0.0291683906009406,"A","A","A","A","A","0.000925456680233743","0.0291942889234284","0.00781630527017277","0.00119173048824962","0.00876234418285009",0
75,0.540586812491504,0.0256231369032843,"C","C","C","B","C","0.806593482068751","0.442164703773548","0.243031360260765","0.919828253243379","0.472917617832436",0.3
76,0.0556613141545795,0.0344996848723175,"B","A","B","B","B","0.516679634678729","0.560926783207643","0.342232215644728","0.495368729123705","0.256026093510778",0.3
77,-0.333373260834114,0.0304410279407308,"B","A","A","A","A","0.0727545213006373","0.0474988967390615","0.183717702522494","0.306180602118745","0.123454516113162",0
78,0.445766180709709,0.015833850404569,"B","C","C","B","C","0.718726486978005","0.732881636743454","0.603949318686116","0.59774460543933","0.618467082435852",0.3
79,0.399879303956058,0.019204844208153,"B","B","B","B","B","0.709095991236183","0.591982289599945","0.385414642884495","0.609910498854933","0.583731193889229",0.3
