"trail","efk","vark","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","y.true"
1,-0.14649507827691,0.0299724178392044,0.321344299006865,0.182132685631095,0.280022308776568,0.228296818228121,0.365421724967473,0.317801261711681,0.379797046215624,0.353084433476574,0.0725940418346105,0.15048507269508,0
2,0.194174446718584,0.0319337694688308,0.594642840811827,0.879595646388041,0.786376482621327,0.683753836234032,0.238693502819199,0.558873738419192,0.390929924927671,0.272320573570953,0.728169029975774,0.603128926013309,0
3,0.304020622994914,0.0227521106305334,0.859285306456548,0.681060761091563,0.478217438352445,0.791001713355828,0.821449890814161,0.517019242598565,0.297411978831422,0.944283756532655,0.719643232200154,0.641150996954685,0.3
4,0.433596053258789,0.0167425001199543,0.219849781428682,0.790937835340798,0.368795189977304,0.093068183983076,0.493745946511193,0.154562833847644,0.354942420440785,0.0877656006975728,0.164943928617616,0.208880351581226,0
5,0.200915450778127,0.0192838200996674,0.238755069381837,0.0235758542567601,0.134515350209221,0.262848254444994,0.508686241382747,0.718553240887129,0.114755335122683,0.299110076161072,0.387701985888525,0.784331701495395,0
6,0.193652255570249,0.0184309299796682,0.850692379706546,0.942347556275808,0.886280164132334,0.844372168173037,0.996913651454767,0.917080028551265,0.869474103781669,0.966442682758611,0.995216414815355,0.928107020258965,0.3
7,0.333331470295495,0.0287239914071062,0.433291566512628,0.35913632121363,0.927046206144393,0.860822575741213,0.856296223615195,0.772023310326138,0.858776484728727,0.908570088974503,0.959910486155733,0.805155972939184,0.3
8,0.315014004397489,0.0170746036011433,0.993053534654258,0.992941299679714,0.964130216953314,0.932623569156256,0.940683197200685,0.969114998347231,0.781109747544992,0.874333883180414,0.890107881863692,0.990120678547469,0.3
9,0.171042026652731,0.0156157635460505,0.945505720083719,0.958149496328517,0.951900299770079,0.858897959656884,0.953664453714901,0.949657779260623,0.998410506502047,0.948844181916744,0.981940136483195,0.938214771385737,0.3
10,-0.0586194577461525,0.0324649792477332,0.0737560932238525,0.257126827178573,0.0384602991246833,0.607090439976258,0.0410211308330009,0.188553375536122,0.185848137909594,0.157454027428233,0.361567606686197,0.422631321294634,0
11,-0.0113969853849747,0.0228208391087463,0.460736844807208,0.502277640245513,0.791475399510391,0.657956774453483,0.42268949400168,0.61152424025282,0.581324690250553,0.14148458677108,0.457764541385676,0.633738670688344,0.3
12,0.254766180794041,0.0254879051943642,0.948165941212676,0.884336336153591,0.966865878987881,0.927356403158793,0.992205718224972,0.722341547269858,0.88680918565205,0.911445104684503,0.75644243168491,0.893301800401566,0.3
13,0.150676563025367,0.0267584264399971,0.0426035387735992,0.327295813681902,0.188898617894767,0.310334964231673,0.153004971389163,0.0829500298938881,0.573046715805483,0.241753383557364,0.0193314416720633,0.37929777329334,0
14,0.0743609484444342,0.021597511147634,0.0643798894949007,0.0237996332475167,0.132896785399876,0.297736309738611,0.261100640739145,0.299551955282457,0.491964770953414,0.322559499709576,0.0716818851822491,0.205092007800309,0
15,-0.247374409418174,0.0179479451401648,0.250437414352508,0.637717192571601,0.317176378961741,0.289783835008948,0.0392547463856643,0.383757302663985,0.673109883239543,0.363980623636625,0.506328949578276,0.43657618829645,0
16,0.723907995624175,0.025873625285194,0.874606861208653,0.397619542433552,0.951789668402587,0.827460471396546,0.649935163702939,0.66200891020924,0.785172306499136,0.850578003129122,0.854479783352774,0.968759096769736,0.3
17,0.0483225573004726,0.0213504455613854,0.472204866847099,0.0250059887591757,0.0342848694085028,0.357887848543559,0.68116394959663,0.0705198754912977,0.53355898328226,0.598668572591065,0.423255127857071,0.0706207602322607,0.3
18,0.215089464299356,0.0235032939605469,0.759577628182554,0.868006564140556,0.756788625787256,0.866795060925896,0.888220343012903,0.69324119281267,0.572183559573672,0.750451743538873,0.804900739154121,0.509590127414093,0.3
19,0.715121740377857,0.0311371321057795,0.594300773500926,0.487721027913613,0.441161873101261,0.256542277559848,0.635949340892276,0.379403478339472,0.129841642969998,0.531498938670565,0.815222998655732,0.655367056170866,0.3
20,0.231301655870908,0.0345390607368081,0.543259124646141,0.554265971732258,0.70381935495353,0.86154336158428,0.457188075491492,0.545149638329143,0.944558617109966,0.183343018450818,0.793925255865832,0.764140361696397,0.3
21,0.383293973271542,0.0353281640173825,0.554494283953862,0.266183021480579,0.311732733633576,0.551658197180497,0.578960640430958,0.647033654308952,0.631270879496116,0.483619165469269,0.401732974201105,0.0321832515299661,0.3
22,1.1411108765197,0.055297954699321,0.792173428288392,0.729421402050735,0.988720789334996,0.800652573648273,0.893961823349273,0.819479230524485,0.962614765052637,0.990436830956967,0.975204224401063,0.977380554736868,0.3
23,0.798912055249856,0.0265973210490663,0.815194838520114,0.2065156773725,0.0496860280667817,0.194538998814709,0.429285794966834,0.636261574611142,0.472109038089623,0.703436466082682,0.54005617775588,0.40478294772663,0.3
24,0.360399877240332,0.0386652661357734,0.370867474036907,0.198304854604563,0.187609304686299,0.0833547829547819,0.326976130329038,0.10859620946902,0.506389253344464,0.348425560415461,0.591696148711882,0.093678892783567,0
25,0.586724979478562,0.0250698579322406,0.425743439221678,0.222088871496743,0.284417680577123,0.206200968828435,0.451713895625072,0.148794522189642,0.702439424501426,0.278707431493362,0.164567781589833,0.157876161735113,0.3
26,-0.119376549388169,0.0220570971898841,0.308299444915736,0.346907836300549,0.473494083718838,0.280113174468286,0.259276407944462,0.574429602765293,0.377299439138726,0.826182510793439,0.248093377782794,0.182151343727437,0
27,0.256155654991622,0.0339888658899244,0.429960582707828,0.35742763120958,0.303087553238459,0.110447148033292,0.586830421894568,0.836193836088068,0.342661207057948,0.263677557320973,0.660380388343842,0.345487782337131,0.3
28,-0.00664672627130186,0.0262517922752832,0.386509176352596,0.290463044695925,0.150560811149596,0.343525711734986,0.337065266571325,0.291836407033439,0.196593614854627,0.396714324221215,0.114805873956617,0.501681947915265,0.3
